"AccBinomial","meanHeight","minHeight","maxHeight","meanLeaf.length","minLeaf.length","maxLeaf.length","meanLeaf.width","minLeaf.width","maxLeaf.width","meanCorolla.radius","minCorolla.radius","maxCorolla.radius","meanCorolla.tube.length","minCorolla.tube.length","maxCorolla.tube.length","meanCorolla.lobe.length","minCorolla.lobe.length","maxCorolla.lobe.length","meanStyle.length","minStyle.length","maxStyle.length","meanFruit.size","minFruit.size","maxFruit.size","Self..in.compatibility","Ploidy","HapN","Life.history","Habit","Stem.composition","Leaf.type","Corolla.color","Fruit.type","Fruit.color"
"Brunfelsia boliviana",1.5,1,2,87.5,40,135,40.5,23,58,12,9,15,23,21,25,11,8,14,19,19,19,22.5,20,25,,,,,"Herb","Woody","Simple","white, light blue, light purple","Capsule","Green"
"Brunfelsia bonodora",1.5,1,2,97.5,50,145,35,20,50,13.75,10,17.5,21,17,25,"NA","NA","NA","NA","NA","NA",7,6,8,,,,,"Shrub","Woody","Simple","white, blue","Capsule",
"Brunfelsia brasiliensis",1.15,0.3,2,80,30,130,27.5,10,45,12.5,9,16,21,17,25,"NA","NA","NA",17.5,17,18,10.5,8,13,,,,,"Shrub","Woody","Simple","white, blue, light purple, purple","Capsule","Green"
"Brunfelsia brasiliensis subsp. brasiliensis",1.15,0.3,2,80,30,130,27.5,10,45,11.5,8,15,19.5,17,22,"NA","NA","NA",17.5,17,18,10.5,8,13,,,,,"Shrub","Woody","Simple","white, blue, light purple, purple","Capsule","Green"
"Brunfelsia brasiliensis subsp. macrocalyx",1.15,0.3,2,55,30,80,17,12,22,14.25,12.5,16,21.5,18,25,"NA","NA","NA",17.5,17,18,10.5,8,13,,,,,"Shrub","Woody","Simple","white, blue, light purple, purple","Capsule","Green"
"Brunfelsia burchellii","NA","NA","NA",125,70,180,52.5,30,75,12,9,15,26,24,28,"NA","NA","NA",20.5,20,21,"NA","NA","NA",,,,,"Shrub","Woody","Simple",,,
"Brunfelsia chiricaspi",2,1,3,250,200,300,95,70,120,13.75,12.5,15,23.5,22,25,"NA","NA","NA","NA","NA","NA",9,8,10,,,,,"Shrub, Tree","Woody","Simple","white, light blue, blue, purple","Capsule",
"Brunfelsia chocoensis",2,2,2,230,180,280,100,90,110,11.75,11,12.5,24.5,22,27,9,8,10,15,10,20,25,20,30,,,,,"Shrub","Woody","Simple","white",,"Yellow"
"Brunfelsia clandestina",6,6,6,77.5,35,120,32.5,15,50,10.25,7.5,13,21.5,18,25,8,6,10,18,16,20,16.5,13,20,,,,,"Shrub, Tree","Woody","Simple","white","Capsule","Green"
"Brunfelsia cuneifolia",1,1,1,117,35,199,24,18,30,15.5,12.5,18.5,23,18,28,12.5,10,15,23,23,23,"NA","NA","NA",,,,,"Shrub","Woody","Simple","white, blue, purple",,
"Brunfelsia densifolia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI",,,"Perennial",,"Woody",,,,
"Brunfelsia dwyeri",6,2,10,80,50,110,37.5,25,50,27.5,15,40,32.5,25,40,15,10,20,"NA","NA","NA",20,15,25,"SI","Diploid",11,"Perennial","Shrub, Tree","Woody","Simple","white, purple","Capsule",
"Brunfelsia grandiflora",3.5,1,6,145,60,230,50,20,80,17.5,10,25,27.5,15,40,11,7,15,"NA","NA","NA",14,8,20,,"Diploid",11,,"Shrub, Tree","Woody","Simple","white, blue, purple",,
"Brunfelsia grandiflora subsp. grandiflora",3.5,1,6,165,100,230,55,30,80,21.75,17.5,26,37.5,30,45,11,7,15,"NA","NA","NA",19.5,17,22,,,,,"Shrub, Tree","Woody","Simple","white, blue, purple","Capsule",
